iter,best_fitness
0,1.0526695396459549
1,1.0526695396459549
2,1.0149994146452
3,0.6090568200579907
4,0.19942960162433154
5,0.04974678712507741
6,0.04974678712507741
7,0.04974678712507741
8,0.04974678712507741
9,0.025460900513401885
10,0.0071363579664986965
11,0.007040145965931277
12,0.0049526151687051545
13,0.0036640355896051524
14,0.0013393768022536001
15,0.0004507917694458463
16,0.0002450713015957895
17,0.00014136677047149604
18,0.00014136677047149604
19,0.00014136677047149604
20,5.548839734048627e-05
21,4.845104372508402e-05
22,4.727696648076929e-05
23,4.727696648076929e-05
24,2.1877141766157848e-05
25,2.1877141766157848e-05
26,2.539620432617795e-06
27,2.539620432617795e-06
28,2.539620432617795e-06
29,2.539620432617795e-06
30,2.3564405542408906e-06
31,1.031201133816495e-06
32,1.031201133816495e-06
33,4.5072630472375863e-07
34,1.19022644629041e-07
35,6.781397887678509e-08
36,6.781397887678509e-08
37,6.781397887678509e-08
38,6.781397887678509e-08
39,6.781397887678509e-08
40,3.439997486864854e-08
41,2.9009751489894597e-08
42,1.0130265071239819e-08
43,1.0130265071239819e-08
44,3.544628146556761e-09
45,3.544628146556761e-09
46,2.449706659746198e-09
47,1.3015051258946642e-09
48,1.3015051258946642e-09
49,4.2194914229298774e-10
50,4.2194914229298774e-10
51,3.770002088288038e-10
52,1.9589707633826947e-10
53,7.475309260485119e-11
54,7.475309260485119e-11
55,4.191536007169816e-11
56,4.191536007169816e-11
57,3.0312197196735724e-11
58,1.6563195259777785e-11
59,2.4731328096549987e-12
60,2.4731328096549987e-12
61,2.4731328096549987e-12
62,2.4731328096549987e-12
63,1.2367884494324244e-12
64,1.2367884494324244e-12
65,1.2367884494324244e-12
66,7.429612480791548e-13
67,1.745270594710746e-13
68,1.745270594710746e-13
69,1.745270594710746e-13
70,1.745270594710746e-13
71,1.176836406102666e-13
72,1.176836406102666e-13
73,1.176836406102666e-13
74,3.597122599785507e-14
75,3.597122599785507e-14
76,3.241851231905457e-14
77,2.1760371282653068e-14
78,1.8207657603852567e-14
79,3.9968028886505635e-15
80,3.9968028886505635e-15
81,4.440892098500626e-16
82,4.440892098500626e-16
83,4.440892098500626e-16
