iter,best_fitness
0,0.026436008995089022
1,0.026436008995089022
2,0.000552093035016789
3,0.000552093035016789
4,0.000552093035016789
5,0.00023406527590615056
6,0.00023406527590615056
7,0.00023406527590615056
8,0.00023406527590615056
9,2.8179500694375537e-05
10,1.6528232414960963e-05
11,6.9545408915921525e-06
12,1.1172038010718885e-06
13,1.1172038010718885e-06
14,1.1172038010718885e-06
15,3.9836012288463485e-07
16,3.9836012288463485e-07
17,2.446500383953476e-07
18,1.5233608336121368e-07
19,1.6356545287444402e-08
20,1.6356545287444402e-08
21,1.6356545287444402e-08
22,1.6356545287444402e-08
23,2.4375983010329197e-09
24,2.4375983010329197e-09
25,1.1583423260944684e-09
26,1.211476406409283e-10
27,1.211476406409283e-10
28,1.9522207716321317e-12
29,1.9522207716321317e-12
30,1.36787959008839e-12
31,5.125239425801097e-14
32,5.125239425801097e-14
33,5.125239425801097e-14
34,5.125239425801097e-14
35,5.125239425801097e-14
36,1.6373873765311212e-14
37,1.6373873765311212e-14
38,1.3104286692707538e-14
39,1.1364708311748423e-14
40,1.0942179061649074e-14
41,3.511023260271434e-15
42,1.3549108266680545e-15
43,9.79484534477012e-16
44,3.846747316149301e-16
45,3.846747316149301e-16
46,2.182946706661536e-17
47,2.182946706661536e-17
48,8.235945156866435e-18
49,8.235945156866435e-18
50,1.3133818132212388e-18
51,1.3133818132212388e-18
52,9.861080880472567e-19
53,9.66731014310144e-19
54,5.1657937606479653e-20
55,5.1657937606479653e-20
56,5.1657937606479653e-20
57,2.3091428582454647e-20
58,2.3091428582454647e-20
